Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Afghanistan,AFG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..
Afghanistan,AFG,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..
Afghanistan,AFG,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..
Afghanistan,AFG,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,34.03153
Afghanistan,AFG,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,50.31377
Afghanistan,AFG,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,18.64713
Afghanistan,AFG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,33.102038592
Afghanistan,AFG,"Air transport, passengers carried",IS.AIR.PSGR,1929907.728
Afghanistan,AFG,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,23532.528
Afghanistan,AFG,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,..
Afghanistan,AFG,Children out of school (% of primary school age),SE.PRM.UNER.ZS,..
Afghanistan,AFG,"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,..
Afghanistan,AFG,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,..
Afghanistan,AFG,"Children out of school, primary",SE.PRM.UNER,..
Afghanistan,AFG,"Children out of school, primary, female",SE.PRM.UNER.FE,..
Afghanistan,AFG,"Children out of school, primary, male",SE.PRM.UNER.MA,..
Afghanistan,AFG,Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths),SP.DTH.INFR.ZS,..
Afghanistan,AFG,Completeness of total death reporting (% of reported total deaths to estimated total deaths),SP.DTH.REPT.ZS,..
Afghanistan,AFG,Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,..
Afghanistan,AFG,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,..
Afghanistan,AFG,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,166
Afghanistan,AFG,Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,..
Afghanistan,AFG,GINI index (World Bank estimate),SI.POV.GINI,..
Afghanistan,AFG,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",SE.PRM.GINT.FE.ZS,93.48585
Afghanistan,AFG,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS,136.53886
Afghanistan,AFG,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,115.52082
Afghanistan,AFG,Income share held by fourth 20%,SI.DST.04TH.20,..
Afghanistan,AFG,Income share held by highest 10%,SI.DST.10TH.10,..
Afghanistan,AFG,Income share held by highest 20%,SI.DST.05TH.20,..
Afghanistan,AFG,Income share held by lowest 10%,SI.DST.FRST.10,..
Afghanistan,AFG,Income share held by lowest 20%,SI.DST.FRST.20,..
Afghanistan,AFG,Income share held by second 20%,SI.DST.02ND.20,..
Afghanistan,AFG,Income share held by third 20%,SI.DST.03RD.20,..
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,61.97
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.524
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.7171707317073
Afghanistan,AFG,Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ,..
Afghanistan,AFG,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,..
Afghanistan,AFG,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,31
Afghanistan,AFG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,234.411
Afghanistan,AFG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,277.455
Afghanistan,AFG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,66.3
Afghanistan,AFG,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,62.1
Afghanistan,AFG,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,70.3
Afghanistan,AFG,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,35.5
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,91.1
Afghanistan,AFG,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,87.4
Afghanistan,AFG,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,94.6
Afghanistan,AFG,Net intake rate in grade 1 (% of official school-age population),SE.PRM.NINT.ZS,..
Afghanistan,AFG,"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS,..
Afghanistan,AFG,"Net intake rate in grade 1, male (% of official school-age population)",SE.PRM.NINT.MA.ZS,..
Afghanistan,AFG,Number of infant deaths,SH.DTH.IMRT,67399
Afghanistan,AFG,Number of neonatal deaths,SH.DTH.NMRT,36242
Afghanistan,AFG,Number of under-five deaths,SH.DTH.MORT,94261
Afghanistan,AFG,"Over-age students, primary (% of enrollment)",SE.PRM.OENR.ZS,5.70875
Afghanistan,AFG,"Over-age students, primary, female (% of female enrollment)",SE.PRM.OENR.FE.ZS,5.40202
Afghanistan,AFG,"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS,5.91032
Afghanistan,AFG,"Persistence to grade 5, female (% of cohort)",SE.PRM.PRS5.FE.ZS,..
Afghanistan,AFG,"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS,..
Afghanistan,AFG,"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS,..
Afghanistan,AFG,"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,..
Afghanistan,AFG,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,..
Afghanistan,AFG,"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,..
Afghanistan,AFG,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,..
Afghanistan,AFG,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,..
Afghanistan,AFG,Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,..
Afghanistan,AFG,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,..
Afghanistan,AFG,"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,..
Afghanistan,AFG,"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS,..
Afghanistan,AFG,"Prevalence of overweight, weight for height, male (% of children under 5)",SH.STA.OWGH.MA.ZS,..
Afghanistan,AFG,"Prevalence of severe wasting, weight for height (% of children under 5)",SH.SVR.WAST.ZS,..
Afghanistan,AFG,"Prevalence of severe wasting, weight for height, female (% of children under 5)",SH.SVR.WAST.FE.ZS,..
Afghanistan,AFG,"Prevalence of severe wasting, weight for height, male (% of children under 5)",SH.SVR.WAST.MA.ZS,..
Afghanistan,AFG,"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,..
Afghanistan,AFG,"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,..
Afghanistan,AFG,"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS,..
Afghanistan,AFG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,26.8
Afghanistan,AFG,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..
Afghanistan,AFG,"Prevalence of underweight, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS,..
Afghanistan,AFG,"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS,..
Afghanistan,AFG,"Prevalence of wasting, weight for height (% of children under 5)",SH.STA.WAST.ZS,..
Afghanistan,AFG,"Prevalence of wasting, weight for height, female (% of children under 5)",SH.STA.WAST.FE.ZS,..
Afghanistan,AFG,"Prevalence of wasting, weight for height, male (% of children under 5)",SH.STA.WAST.MA.ZS,..
Afghanistan,AFG,"Primary education, pupils",SE.PRM.ENRL,6333695
Afghanistan,AFG,"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS,39.65455
Afghanistan,AFG,Progression to secondary school (%),SE.SEC.PROG.ZS,..
Afghanistan,AFG,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,..
Afghanistan,AFG,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,..
Afghanistan,AFG,Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,..
Afghanistan,AFG,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,..
Afghanistan,AFG,"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",IQ.WEF.PORT.XQ,..
Afghanistan,AFG,Rail lines (total route-km),IS.RRS.TOTL.KM,..
Afghanistan,AFG,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..
Afghanistan,AFG,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,..
Afghanistan,AFG,"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,..
Afghanistan,AFG,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,..
Afghanistan,AFG,"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,..
Afghanistan,AFG,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,..
Afghanistan,AFG,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,..
Afghanistan,AFG,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,..
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,111.87708
Afghanistan,AFG,"School enrollment, primary (% net)",SE.PRM.NENR,..
Afghanistan,AFG,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.692
Afghanistan,AFG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.65171
Afghanistan,AFG,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,91.08326
Afghanistan,AFG,"School enrollment, primary, female (% net)",SE.PRM.NENR.FE,..
Afghanistan,AFG,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,131.62292
Afghanistan,AFG,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,..
Afghanistan,AFG,"School enrollment, primary, private (% of total primary)",SE.PRM.PRIV.ZS,3.46529
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,55.64441
Afghanistan,AFG,"School enrollment, secondary (% net)",SE.SEC.NENR,48.87893
Afghanistan,AFG,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,0.56238
Afghanistan,AFG,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,39.7427
Afghanistan,AFG,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,35.63383
Afghanistan,AFG,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,70.66893
Afghanistan,AFG,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,61.39339
Afghanistan,AFG,"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS,2.67373
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..
Afghanistan,AFG,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,..
Afghanistan,AFG,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,..
Afghanistan,AFG,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,..
Afghanistan,AFG,"Secondary education, general pupils",SE.SEC.ENRL.GC,2671830
Afghanistan,AFG,"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS,34.9505
Afghanistan,AFG,"Secondary education, pupils",SE.SEC.ENRL,2698816
Afghanistan,AFG,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,34.6984
Afghanistan,AFG,"Secondary education, vocational pupils",SE.SEC.ENRL.VO,26986
Afghanistan,AFG,"Secondary education, vocational pupils (% female)",SE.SEC.ENRL.VO.FE.ZS,9.73838
Afghanistan,AFG,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,5.5
Afghanistan,AFG,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,61.61129
Afghanistan,AFG,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,55.73102
Afghanistan,AFG,Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,..
Albania,ALB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..
Albania,ALB,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..
Albania,ALB,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..
Albania,ALB,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,1.2808
Albania,ALB,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,2.35902
Albania,ALB,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,0.27462
Albania,ALB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0
Albania,ALB,"Air transport, passengers carried",IS.AIR.PSGR,0
Albania,ALB,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0
Albania,ALB,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ,3.53411419791775
Albania,ALB,Children out of school (% of primary school age),SE.PRM.UNER.ZS,..
Albania,ALB,"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,..
Albania,ALB,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,..
Albania,ALB,"Children out of school, primary",SE.PRM.UNER,..
Albania,ALB,"Children out of school, primary, female",SE.PRM.UNER.FE,..
Albania,ALB,"Children out of school, primary, male",SE.PRM.UNER.MA,..
Albania,ALB,Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths),SP.DTH.INFR.ZS,..
Albania,ALB,Completeness of total death reporting (% of reported total deaths to estimated total deaths),SP.DTH.REPT.ZS,..
Albania,ALB,Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,..
Albania,ALB,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,..
Albania,ALB,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..
Albania,ALB,Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,..
