FL_DATE,UNIQUE_CARRIER,CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE
08/01/16,AA,AA,1,BOS,"Boston, MA",MA,JFK,"New York, NY",NY,557,-3,711,0,0,,45,187
08/01/16,AA,AA,1,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,855,25,1150,12,0,,310,2475
08/01/16,AA,AA,2,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,916,16,1815,46,0,,309,2475
08/01/16,AA,AA,3,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,1355,70,1718,93,0,,323,2475
08/01/16,AA,AA,4,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,1148,18,2020,16,0,,303,2475
08/01/16,AA,AA,5,DFW,"Dallas/Fort Worth, TX",TX,HNL,"Honolulu, HI",HI,1104,-6,1435,5,0,,481,3784
08/01/16,AA,AA,5,OKC,"Oklahoma City, OK",OK,DFW,"Dallas/Fort Worth, TX",TX,503,-7,551,-23,0,,33,175
08/01/16,AA,AA,6,OGG,"Kahului, HI",HI,DFW,"Dallas/Fort Worth, TX",TX,1748,6,601,1,0,,421,3711
08/01/16,AA,AA,7,DFW,"Dallas/Fort Worth, TX",TX,OGG,"Kahului, HI",HI,858,-7,1221,7,0,,467,3711
08/01/16,AA,AA,8,HNL,"Honolulu, HI",HI,DFW,"Dallas/Fort Worth, TX",TX,1714,-9,536,-26,0,,422,3784
08/01/16,AA,AA,9,JFK,"New York, NY",NY,SFO,"San Francisco, CA",CA,658,-2,1001,-16,0,,342,2586
08/01/16,AA,AA,10,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,2129,14,605,12,0,,307,2475
08/01/16,AA,AA,14,OGG,"Kahului, HI",HI,LAX,"Los Angeles, CA",CA,2302,72,714,75,0,,287,2486
08/01/16,AA,AA,15,JFK,"New York, NY",NY,SFO,"San Francisco, CA",CA,809,-6,1150,19,0,,344,2586
08/01/16,AA,AA,16,SFO,"San Francisco, CA",CA,JFK,"New York, NY",NY,1455,145,2350,148,0,,301,2586
08/01/16,AA,AA,19,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,1139,9,1416,-14,0,,305,2475
08/01/16,AA,AA,20,SFO,"San Francisco, CA",CA,JFK,"New York, NY",NY,1630,90,57,70,0,,299,2586
08/01/16,AA,AA,21,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,2109,129,52,156,0,,316,2475
08/01/16,AA,AA,22,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,1632,62,110,65,0,,304,2475
08/01/16,AA,AA,23,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,47,137,324,97,0,,312,2475
08/01/16,AA,AA,25,ORD,"Chicago, IL",IL,LAS,"Las Vegas, NV",NV,1702,-3,1839,-22,0,,193,1514
08/01/16,AA,AA,28,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,2313,28,803,41,0,,311,2475
08/01/16,AA,AA,29,MIA,"Miami, FL",FL,BOS,"Boston, MA",MA,1300,29,1612,26,0,,159,1258
08/01/16,AA,AA,30,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,21,31,929,62,0,,311,2475
08/01/16,AA,AA,31,LAX,"Los Angeles, CA",CA,HNL,"Honolulu, HI",HI,841,13,1134,-2,0,,326,2556
08/01/16,AA,AA,32,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,1614,104,40,96,0,,297,2475
08/01/16,AA,AA,33,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,655,-5,1010,1,0,,313,2475
08/01/16,AA,AA,34,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,1516,151,2343,143,0,,300,2475
08/01/16,AA,AA,35,EWR,"Newark, NJ",NJ,DFW,"Dallas/Fort Worth, TX",TX,458,-2,721,-20,0,,179,1372
08/01/16,AA,AA,36,SFO,"San Francisco, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,1934,697,110,700,0,,180,1464
08/01/16,AA,AA,37,DFW,"Dallas/Fort Worth, TX",TX,SFO,"San Francisco, CA",CA,1652,-8,1830,-13,0,,193,1464
08/01/16,AA,AA,38,IAH,"Houston, TX",TX,MIA,"Miami, FL",FL,1512,-3,1900,9,0,,140,964
08/01/16,AA,AA,39,MIA,"Miami, FL",FL,MCO,"Orlando, FL",FL,313,324,417,318,0,,37,192
08/01/16,AA,AA,40,BOS,"Boston, MA",MA,ORD,"Chicago, IL",IL,1907,-3,2055,-3,0,,129,867
08/01/16,AA,AA,160,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,932,74,1212,62,0,,79,592
08/01/16,AA,AA,161,LAX,"Los Angeles, CA",CA,OGG,"Kahului, HI",HI,1800,40,2053,45,0,,309,2486
08/01/16,AA,AA,162,HNL,"Honolulu, HI",HI,LAX,"Los Angeles, CA",CA,1303,-3,2141,-4,0,,299,2556
08/01/16,AA,AA,163,LAX,"Los Angeles, CA",CA,MCO,"Orlando, FL",FL,2114,-1,524,3,0,,265,2218
08/01/16,AA,AA,164,SFO,"San Francisco, CA",CA,JFK,"New York, NY",NY,848,13,1759,32,0,,328,2586
08/01/16,AA,AA,166,BOS,"Boston, MA",MA,LAX,"Los Angeles, CA",CA,930,0,1238,-16,0,,343,2611
